label,artist,name,split
Action painting,franz kline,franz-kline_scudera-1961.jpg,database
Action painting,franz kline,franz-kline_untitled-ii.jpg,database
Action painting,walasse ting,walasse-ting_goya-s-lover-1977.jpg,database
Action painting,jackson pollock,jackson-pollock_number-12-1949.jpg,database
Action painting,jackson pollock,jackson-pollock_black-white-number-20-1951.jpg,query
Action painting,jackson pollock,jackson-pollock_number-26-1949.jpg,query
Action painting,jackson pollock,jackson-pollock_no-1-1948(1).jpg,database
Action painting,walasse ting,walasse-ting_two-angels.jpg,database
Action painting,jackson pollock,jackson-pollock_yellow-islands(1).jpg,database
Action painting,jackson pollock,jackson-pollock_number-13a-arabesque-1948.jpg,database
Action painting,jackson pollock,jackson-pollock_number-25(1).jpg,database
Action painting,franz kline,franz-kline_orange-outline-1955.jpg,database
Action painting,franz kline,franz-kline_accent-grave-1955.jpg,database
Action painting,jackson pollock,jackson-pollock_enchanted-forest-1947.jpg,database
Action painting,jackson pollock,jackson-pollock_lucifer-1947.jpg,database
Action painting,franz kline,franz-kline_le-gros.jpg,database
Action painting,tsuruko yamazaki,tsuruko-yamazaki_work-1957.jpg,database
Action painting,franz kline,franz-kline_picture-046.jpg,database
Action painting,franz kline,franz-kline_meryon-1961.jpg,database
Action painting,antonio palolo,antonio-palolo_untitled-1992.jpg,database
Action painting,jackson pollock,jackson-pollock_cathedral-1947.jpg,database
Action painting,franz kline,franz-kline_blueberry-eyes-1960.jpg,query
Action painting,jackson pollock,jackson-pollock_number-17-1949.jpg,database
Action painting,henri michaux,henri-michaux_untitled-1979.jpg,database
Action painting,jackson pollock,jackson-pollock_mural-on-indian-red-ground-1950.jpg,database
Action painting,franz kline,franz-kline_suspended-1953.jpg,database
Action painting,franz kline,franz-kline_horizontal-rust-1960.jpg,database
Action painting,franz kline,franz-kline_chief-1950.jpg,query
Action painting,jackson pollock,jackson-pollock_summertime-number-9a-1948.jpg,database
Action painting,hans hofmann,hans-hofmann_don-quixote-1963.jpg,database
Action painting,franz kline,franz-kline_new-york-1953.jpg,database
Action painting,franz kline,franz-kline_herald-1954.jpg,database
Action painting,walasse ting,walasse-ting_venus-1980.jpg,database
Action painting,franz kline,franz-kline_untitled-1956.jpg,database
Action painting,norman bluhm,norman-bluhm_untitled-1962.jpg,database
Action painting,jackson pollock,jackson-pollock_untitled-green-silver-1949.jpg,database
Action painting,franz kline,franz-kline_painting-no-7.jpg,query
Action painting,jackson pollock,jackson-pollock_number-7-out-of-the-web-1949.jpg,query
Action painting,jackson pollock,jackson-pollock_one-number-31-1950.jpg,database
Action painting,franz kline,franz-kline_zinc-yellow-1959.jpg,database
Action painting,franz kline,franz-kline_untitled.jpg,database
Action painting,henri michaux,henri-michaux_untitled-1.jpg,database
Action painting,jackson pollock,jackson-pollock_number-6-1949(1).jpg,database
Action painting,jackson pollock,jackson-pollock_reflections-of-the-big-dipper-1947.jpg,database
Action painting,jackson pollock,jackson-pollock_number-1(1).jpg,database
Action painting,jackson pollock,jackson-pollock_untitled-1951-1.jpg,database
Action painting,walasse ting,walasse-ting_it-is-very-hot-here-1986.jpg,database
Action painting,norman bluhm,norman-bluhm_aritic-1959.jpg,database
Action painting,jackson pollock,jackson-pollock_number-8-detail(1).jpg,query
Action painting,walasse ting,walasse-ting_gauguin-ting-1976.jpg,database
Action painting,hans hofmann,hans-hofmann_the-wind-1942.jpg,query
Action painting,franz kline,franz-kline_number-2-1954.jpg,database
Action painting,jackson pollock,jackson-pollock_not-detected-185311.jpg,query
Action painting,jackson pollock,jackson-pollock_shimmering-substance(1).jpg,database
Action painting,jackson pollock,jackson-pollock_number-32-1950.jpg,query
Action painting,franz kline,franz-kline_four-square-1956.jpg,query
Action painting,jackson pollock,jackson-pollock_number-1-lavender-mist(1).jpg,database
Action painting,hans hofmann,hans-hofmann_astral-nebula-1961.jpg,query
Action painting,franz kline,franz-kline_untitled-1957-1.jpg,database
Action painting,hans hofmann,hans-hofmann_the-prey-1956.jpg,database
Action painting,jackson pollock,jackson-pollock_number-8-1949.jpg,database
Action painting,jackson pollock,jackson-pollock_composition-white-black-blue-and-red-on-white-1948.jpg,database
Action painting,jackson pollock,jackson-pollock_number-3(2).jpg,database
Action painting,franz kline,franz-kline_untitled-1.jpg,query
Action painting,franz kline,franz-kline_delaware-gap.jpg,database
Action painting,franz kline,franz-kline_palladio-1961.jpg,query
Action painting,franz kline,franz-kline_c-and-o-1958.jpg,database
Action painting,jackson pollock,jackson-pollock_number-3(3).jpg,database
Action painting,jackson pollock,jackson-pollock_number-4-gray-and-red-1948.jpg,query
Action painting,franz kline,franz-kline_torches-mauve-1960.jpg,database
Action painting,jackson pollock,jackson-pollock_number-23(1).jpg,database
Action painting,jackson pollock,jackson-pollock_eyes-in-the-heat-1946(2).jpg,database
Action painting,franz kline,franz-kline_opustena.jpg,database
